grapheme_root,freq,prob
73,130,0.000647281418044214
33,136,0.00067715594503087
102,141,0.000702051384186417
158,143,0.000712009559848636
45,144,0.000716988647679745
130,144,0.000716988647679745
1,145,0.000721967735510854
12,146,0.000726946823341964
0,147,0.000731925911173073
63,149,0.000741884086835292
114,150,0.000746863174666401
11,151,0.00075184226249751
105,151,0.00075184226249751
10,152,0.00075682135032862
7,153,0.000761800438159729
8,157,0.000781716789484167
108,158,0.000786695877315276
126,159,0.000791674965146385
104,160,0.000796654052977495
164,164,0.000816570404301932
163,165,0.000821549492133041
87,168,0.000836486755626369
26,171,0.000851424019119697
5,175,0.000871340370444135
34,276,0.00137422824138618
19,278,0.0013841864170484
37,285,0.00141904003186616
82,292,0.00145389364668393
78,293,0.00145887273451504
146,302,0.00150368452499502
27,305,0.00151862178848835
41,305,0.00151862178848835
166,307,0.00152857996415057
6,308,0.00153355905198168
161,311,0.001548496315475
145,317,0.00157837084246166
3,318,0.00158334993029277
49,321,0.0015982871937861
157,324,0.00161322445727943
51,326,0.00162318263294164
4,331,0.00164807807209719
20,336,0.00167297351125274
24,336,0.00167297351125274
2,337,0.00167795259908385
110,342,0.00170284803823939
60,426,0.00212109141605258
116,436,0.00217088229436367
30,437,0.00217586138219478
131,443,0.00220573590918144
9,444,0.00221071499701255
100,448,0.00223063134833698
47,452,0.00225054769966142
80,456,0.00227046405098586
99,458,0.00228042222664808
84,460,0.0022903804023103
121,462,0.00230033857797252
162,465,0.00231527584146584
67,475,0.00236506671977694
35,476,0.00237004580760805
160,480,0.00238996215893248
97,481,0.00239494124676359
137,562,0.00279824736108345
61,575,0.00286297550288787
46,580,0.00288787094204342
54,592,0.00294761999601673
152,607,0.00302230631348337
143,609,0.00303226448914559
144,612,0.00304720175263892
39,617,0.00307209719179446
93,622,0.00309699263095001
134,623,0.00310197171878112
90,627,0.00312188807010556
98,627,0.00312188807010556
68,631,0.00314180442142999
57,633,0.00315176259709221
135,637,0.00317167894841665
95,727,0.00361979685321649
154,732,0.00364469229237204
50,738,0.00367456681935869
106,751,0.00373929496116312
40,757,0.00376916948814977
69,757,0.00376916948814977
28,759,0.00377912766381199
88,760,0.0037841067516431
17,761,0.00378908583947421
31,768,0.00382393945429197
66,786,0.00391356303525194
111,787,0.00391854212308305
156,790,0.00393347938657638
14,796,0.00396335391356304
125,813,0.00404799840669189
62,868,0.00432184823740291
140,883,0.00439653455486955
112,886,0.00441147181836288
109,908,0.00452101175064728
127,927,0.00461561441943836
155,928,0.00462059350726947
138,934,0.00465046803425612
52,935,0.00465544712208723
16,940,0.00468034256124278
21,942,0.004690300736905
128,952,0.00474009161521609
70,957,0.00476498705437164
77,957,0.00476498705437164
94,973,0.00484465245966939
129,978,0.00486954789882494
36,1024,0.00509858593905597
132,1039,0.0051732722565226
136,1051,0.00523302131049592
44,1057,0.00526289583748257
142,1067,0.00531268671579367
15,1083,0.00539235212109142
101,1083,0.00539235212109142
92,1116,0.00555666201951802
25,1127,0.00561143198566023
32,1127,0.00561143198566023
75,1127,0.00561143198566023
118,1139,0.00567118103963354
165,1142,0.00568611830312687
120,1207,0.00600975901214897
151,1248,0.00621390161322446
58,1285,0.0063981278629755
85,1363,0.00678649671380203
65,1365,0.00679645488946425
48,1376,0.00685122485560645
83,1418,0.00706034654451305
74,1518,0.00755825532762398
117,1531,0.0076229834694284
119,1537,0.00765285799641506
91,1539,0.00766281617207728
153,1553,0.00773252340171281
167,1585,0.0078918542123083
18,1633,0.00813085042820155
55,1680,0.00836486755626369
148,1723,0.00857896833300139
141,1746,0.00869348735311691
76,1936,0.00963951404102768
42,1957,0.00974407488548098
123,2073,0.0103216490738897
86,2094,0.010426209918343
124,2188,0.0108942441744672
150,2311,0.0115066719776937
139,2312,0.0115116510655248
89,2313,0.0115166301533559
122,2313,0.0115166301533559
59,2339,0.0116460864369647
149,2402,0.0119597689703246
56,2688,0.0133837880900219
29,2780,0.013841864170484
71,2936,0.014618601872137
22,2961,0.0147430790679148
159,3281,0.0163363871738697
38,3354,0.0166998605855407
81,3438,0.0171181039633539
79,3458,0.0172176857199761
103,3461,0.0172326229834694
43,3630,0.0180740888269269
53,3690,0.0183728340967935
115,4015,0.019991037641904
133,4374,0.0217785301732723
147,4392,0.0218681537542322
113,4395,0.0218830910177256
96,4926,0.0245269866560446
23,5149,0.025637323242382
107,5321,0.0264937263493328
13,5420,0.0269866560446126
64,5596,0.0278629755028879
72,5736,0.0285600477992432
